典拠	東島通商語	日本語直訳	和訳	英訳		
クレオール言語に関する一考察	xace, anxan		ありがとう、不当に			
クレオール言語に関する一考察	tata		楽しむ			
クレオール言語に関する一考察	dalu, dapal		共通の、イケメンな			
クレオール言語に関する一考察	zakan-zakan, zaku		地震、仲間			
クレオール言語に関する一考察	kante, kabe, ka, kame, jatpek, adikti		意味、猪、これ、なに、有罪、奴隷			
クレオール言語に関する一考察	linepaine, kulante, kulante		リパライン語、書く、本			
クレオール言語に関する一考察	nip, takan		ない、タカン民族			
クレオール言語に関する一考察	cep, ankalep, pip, ep, nip, lumap		役場、仮定する、気絶する、雑穀、ない、腸			
クレオール言語に関する一考察	ackic, pinic, nupuc, akxas, lec, lezi		杖、乱れた、萎む、プラス、レチ（人名）、レチ（人名）			
クレオール言語に関する一考察	et, mot, at		他、裏、～と			
クレオール言語に関する一考察	pak, pek, likka, bixe, jatpek, bek		運転する、顔、夢、おじいさん、有罪、スモモ			
クレオール言語に関する一考察	ail, aililu, kulante		アイル共和国、アイル共和国、本			
クレオール言語に関する一考察	en, takan		入れる、タカン民族			
クレオール言語に関する一考察	tude		行く			
クレオール言語に関する一考察	ka, ka, e, e, lelec, lelec		これ、これ、エーイ（人名）、おい（間投詞）、プログラムを作る、比較			
クレオール言語に関する一考察	cunet, anpe, kapa, pon		強力な、能力、光、酢			
クレオール言語に関する一考察	hada linepaine		崩れたリパライン語			
クレオール言語に関する一考察	culup-lukup		恨めしい言語			
クレオール言語に関する一考察	lukup		言語			
不信心者	nip tuwacaleti lata	不信心者	不信心者			
不信心者	jo mi cetleti bileti alepic xizi	我々の、恵むアレフィス様へ	我々の神、恵みのアレフィスにおいて			
不信心者	nip tuwacaleti lata e nip iceit kapa leti lata xale,	信じない人は、まるで光を受けない人である。	不信心者はまるで宝を受けない者のようである。			
不信心者	kapa mol jo ponto pi ka nipit.	光は前にあるが人は(その光を)拒む。	宝は目の前にあるのにそれを拒否するのである。			
不信心者	ka nip e tude cila julo cila.		真に彼らは真理へ至らないのだ。			
地震速報	kie acil, kie acil a.		速報、速報です。			
地震速報	jo tanna leti launca peka cena pontaloexo, xep zakan-zakan mol.		皇水の下、約1万フォンタローエショで、大きな地震がありました。			
地震速報	metica mak mol, e liowel.	再びあるかもしれません、大いに注意です。	再び揺れる恐れがありますので警戒してください。			
地震速報	metica xep helza kile, e tude jo ninleti poto.		津波が来る恐れがありますので、安全な場所に避難してください。			
地震速報	mak lukup.		繰り返します。			
パングラム	bixe e lewip. zaku e tude jo menic.		おじいさんは辞書だ。仲間は島に行く。			
東島通商語入門	jo lijuit kije pemecepe lukup leti lata leti kulante	ペメセペ=ルクップを学ぶ人の為の書	東島通商語入門			
東島通商語入門	pijenleti menic cetleti paccamel		東諸島共和国連合			
東島通商語入門	kada linepaine		崩れたリパライン語			
東島通商語入門	culup lukup		恨めしい言語			
東島通商語入門	pemecepe lukup		東諸島共和国連合の言語			
東島通商語入門	e, papuc		エーイ（人名）、ファフス（人名）			
東島通商語入門	bepice, linepaine		ヴェフィス語、リパライン語			
東島通商語入門	ail, aililu, takan, pemecepe, tanna		アイル共和国、アイル共和国、タカン、東諸島共和国連合、皇水			
東島通商語入門	mi, co, ka, ci, kame,  julo, lata, lanca, launca, laip, auc, et		私、あなた、これ、あれ、何、物、人、下、下、上、全て、他			
東島通商語入門	icic, ep, ackic, anpe, alepic, 		ドア、雑穀、杖、力、アレフィス（神名）、			
東島通商語入門	acil, elza, poto, polto, pek, pon, ponto, pontaloexo, 		報道、波、場所、場所、顔、酢、前、フォンタローエシュ（長さの単位）、			
東島通商語入門	paccamel, pulenza, bal, ben, bixe, bek, mot, 		自治体、自由、茶、油、おじいさん、スモモ、裏、			
東島通商語入門	menic, mele, cep, cila, cacija, cukulal, 		島、近く、政府、真実、姉、絵、			
東島通商語入門	cucen, cupoi, cunenek, zakan-zakan, zaku, tulijo, 		ステュズェン（質量の単位）、木、一日、地震、仲間、土手、			
東島通商語入門	dexape, nole, nalu, lukup, likka, lumap, 		火、時、理由、言語、夢、腸、			
東島通商語入門	lukup-lukup, lewip, lujot, kantel, kulante, kapa, kelza, kin, joup, waxec		会話、辞書、文字、書籍・表現、書籍、光、波、数、歴史、違い			
東島通商語入門	leti		～の			
東島通商語入門	e ice, e ancol, e pip, e pak, e pen, e panka, e pijen,		もらう、与える、気絶する、運転する、開く、良い、東である、			
東島通商語入門	e bi, e celec, e cun, e xel, e tata, e tude, e tuwaca,		恵む、させる、いつもある、見る、楽しむ、行く、信じる、			
東島通商語入門	e ticot, e dexape, e nip, e nin, e luc, e lukup,		思う・感じる、焼く、消える、安全である、使う、言う、			
東島通商語入門	e latapanka, e liowel, e let, e kile, e kojowi, e kunlan		順調である・健康面が良い、大いに注意すべきである、持つ、来る、疲れる、食べる			
東島通商語入門	nipit, lelecit, kantelit 		拒否する・消す、比較する、執筆する			
東島通商語入門	akxacleti, panleti, pinicleti, cetleti, cunetleti, dapalleti, jatpekleti		プラスである、1 である、乱れている、多い、強い、イケメンである、有罪である			
東島通商語入門	e, mol		～である、ある			
東島通商語入門	e kin, kinpit		数える、～を数える			
東島通商語入門	e dok, doktit		叩く、～を叩く			
東島通商語入門	jo		～に・～から・～で			
東島通商語入門	pi		～して			
東島通商語入門	nip, cene, celene, delu, deliju, mak, pac, lecu		～しない、～できる、～したい・したがる、～すべき、～すべき、再び、～し始める、～しよう			
東島通商語入門	tude, kije, mol		（離れる方向に）、（近づく方向に）、～しつづけている			
東島通商語入門	lata nip cene kunlanit kantel.		人は本を食べることができない。			
東島通商語入門	co penit icic pi co cene e tude jo cep.		あなたがドアを開けると、あなたは役所に行くことができる。			
東島通商語入門	mi e bi kije jo tuwacaleti julo.		私は信じることによって恵まれる。			
東島通商語入門	lucu, nat, cila, a, e, ai, metica, pecta, xale		～し終わった、まだ、（強調）、（心の動き）、おい・痛い、痛い、おそらく、じゃあ、～に似ている			
東島通商語入門	culup		スルプ			
東島通商語入門	kada		崩れた・俗な			
東島通商語入門	xep		大きい			
東島通商語入門	ana		十・10・じゅう			
東島通商語入門	kame		どんな（形容詞）			
東島通商語入門	kie		急いでいる			
東島通商語入門	mi nip cene penit kaleti xep icic.		私はこの大きな扉を開けられない。			
東島通商語入門	mi pac kanteit kije ana kantel.		私は10冊の本を読み始めた。			
東島通商語入門	pemecepe lukup mol jo pemecepe pi ka nip e linepaine.		東島通商語はペメセペにあって、リパライン語ではない。			
東島通商語入門	lukupit linepaine leti lata		リパライン語を話す人			
東島通商語入門	mi panka lukupit linepaine.		私は上手くリパライン語を話す。			
東島通商語入門	mi pan lukupit linepaine.		私は一人でリパライン語を話す。			
東島通商語入門	co cet cet e kunlan.		あなたたちはとても食べる。			
東島通商語入門	ci tata penit cetleti icic.		あなたは楽しくこの扉を開ける。			
東島通商語入門	e nulot		賢い			
東島通商語入門	e lot		愚かな・ばかな			
東島通商語入門	nip liju kije leti lata e nupanka.		学ばない人間は悪い。			
東島通商語入門	mi penit nuxep icic.		私は小さい扉を開ける。			
東島通商語入門	e e latanupanka.		エーイは不健康だ。			
東島通商語入門	kaleti kantel leti lujot e xep.		この本の字は大きい。			
東島通商語入門	e e nipit kapa leti.		エーイは光をなくす人だ。/エーイは光を無視する人だ。			
東島通商語入門	ci nip e mi leti.		あれは私のものではない。/彼・彼女は私の人ではない。			
東島通商語入門	e nip		ない・なくなる			
東島通商語入門	nipit		なくす・無視する			
東島通商語入門	cetleti		たくさんの			
東島通商語入門	cetit		増やす			
東島通商語入門	it		する・行う			
東島通商語入門	it leti julo molip.		やることがない。			
東島通商語入門	co it kame?		あなたは何をする？			
東島通商語入門	co xelit it kame leti lata?		あなたは何をしている人を見ている？			
東島通商語入門	"pemecepe lukup e linepaine". kaleti lukup-lukup mol jo jo lotleti lata leti kantel pi mi nip celene cuit tude cileti delu nipit leti kantel.		「東島通商語はリパライン語である」この言説は、愚か者のための、私が買いたくなく無視すべきである本にあるものである。			
東島通商語入門	nipleti, panleti, makleti (kaleti), dukaleti, jupleti, nokaleti, xantaleti, xenleti, lekkaleti, pentileti		0, 1, 2, 3, 4, 5, 6, 7, 8, 9			
東島通商語入門	ana, ana panleti, ana kaleti, makleti ana, makleti ana panleti, makleti ana kaleti, dukaleti ana, pentileti ana		10, 11, 12, 20, 21, 22, 30, 90			
東島通商語入門	xana, xana panleti		100・百, 101			
東島通商語入門	anxan, (cana)		1000・千, (1000・千)			
東島通商語入門	cena		10000・万			
東島通商語入門	anzo, zo		0.1, 0.01			
東島通商語入門	xenleti anzo		0.7			
東島通商語入門	dukaleti ana nokaleti zo		0.35			
東島通商語入門	makleti xana dukaleti ana xenleti, at pentileti ana kaleti zo		237.92			
東島通商語入門	kait leti kin		½, 二分の一			
東島通商語入門	dukait leti kin		⅓, 三分の一			
東島通商語入門	makleti dukait		⅔, 三分の二			
東島通商語入門	dukaleti jupit		¾, 四分の三			
東島通商語入門	ana xenleti jo makleti ana dukaleti		17/23			
東島通商語入門	peka		およそ～			
東島通商語入門	alepic e laip jo auc.		アレフィスは至高である。			
東島通商語入門	mi e latapankaleti pi co nip.		私はあなたより健康だ。			
東島通商語入門	papuc e anzo pontaloexo xep jo mi.		ファフスは私より0.1フォンタローエショだけ大きい			
東島通商語入門	ka e ana panleti jo xana makleti ana xenleti ci. 		これはそれの127分の11倍である。			
東島通商語入門	mi kanteit tude ka e pankaleti jo co kanteit kije ka.		私がこれを書くことはあなたがこれを読むことよりも良い。			
改良版アリス	alic pac e kojowi jo cacija leti mele jo tulijo.		アリスは姉の横で、土手で疲れ始めた。			
改良版アリス	jo kame, it leti julo molip.		何においても、することがなかった。			
改良版アリス	panleti o kaleti nole, ka xelit cacija e kante kije moleti kantel.	一つか二つの時、この人は、姉が読んでいる本を見た。	一度か二度、姉が読んでいる本を見た。			
改良版アリス	pi cukulal o lukup-lukup molip jo kantel. 		しかし、絵や会話が本にはなかった。			
改良版アリス	"pecta, mi cet lucit kaleti kantel jo kame," alic ticotit lucu, "cukulal o lukup-lukup pan molip ......"		「じゃあ、我々はこの本を何に使うというのだろうか、」アリスは思った、「絵も会話もひとつとしてない……」			
冠光歌詞	ail kapa		アイルの光			
冠光歌詞	kapa e kile jo ka!		光よここに来い！			
冠光歌詞	pi mi e ticot-ticot.		そして私（たち）は思いを巡らせる			
冠光歌詞	toni cet mol jo auc pi		神々は万物に居て			
冠光歌詞	takameku cecnutit. a!		皇力は（我々を）護る。ああ！			
国際共産歌詞	joja cet a! delu letit zanta!		兄弟たちよ！武器を持つべし！			
国際共産歌詞	pawilecit coxetleti pawil!		旗を掲げよ、青い旗を！			
国際共産歌詞	joja cet! nip udicelit ka!		兄弟たちよ！上記（=武装すること）を恐れるな！			
国際共産歌詞	ka e pankaleti elmo.		これは善良な戦いである。			
国際共産歌詞	cunen, paccamel a! pulenza mol jo ka!		喜べ、自治体よ！自由はここにある！			
国際共産歌詞	xep nupakleti nenik e kaleti nole!		大いなる不服従の日はこの日だ！			
国際共産歌詞	jo mol nole, lecu letit pankaleti!		存在する時（の中）から良いものを取ろう！			
国際共産歌詞	icpenemedanot delu panit jo ka!		国際革命運動はここにおいて一つになるべし！			
アイル統一机戦書	AIL PANIT LETI CETKAIK LETI KULANTE		アイル統一机戦書			
アイル統一机戦書	AIL MO LETI CEP KANTEL		アイル文化省 著			
アイル統一机戦書	CETKAIK E KAME?		机戦とはなにか			
アイル統一机戦書	CETKAIK E PAIKE LETI PENULLETI BELPIC.	セットカイクはパイグの古い遊戯である。	机戦はパイグの古い遊戯である。			
アイル統一机戦書	MAKLETI LATA IT KA. JO CETKAIK LATA E "ZO" E TUDE PI CELENE LAUZAIT "DAT".	二人の人がこれをする。セットカイクにおいては、人は駒を動かし、役を作ろうとする。	二人で行い、「駒」(ツオ/片)を進め、「役」(ダト/集)を作ることを目標とする。			
アイル統一机戦書	PANLETI LATA E "ZO" E TUDE PI ETLETI LATA E "ZO" E TUDE. MAK-MAK E IT KA. 	一人の人が駒を動かしたのち、もう一人の人が駒を動かす。何度もこれをやる。	初めの競技者が「駒」を動かし、その後、他の競技者もこれを進めることを繰り返す。			
アイル統一机戦書	LETIT CETLETI KIN LETI LATA MOLKAIT.	多くの点数を持つ人が勝利する。	その結果、多くの点を得た競技者が勝利する。			
アイル統一机戦書	"ZO" E TUDELETI NUXEP CUPOI. "DAT" E LETIT KIN LETI PANKALETI ZO CET.	駒とは、動く小さい木である。役とは、点数を持つ良い駒の集まりである。	なお、「駒」とは動かすための木の小片であり、「役」とは得点するために必要な特定の駒の集まりである。			
アイル統一机戦書	JO KAME NALU AIL KILE JO PANIT KALETI POLTO?	どのような理由によってアイル共和国はここで統一するのか？	なぜアイルはここで規則統一をするのか			
アイル統一机戦書	JO KALETI NOLE CETLETI CEPKULANTE MOL PI LATA CET AT CEP CET E KILE JO NUPANKALETI.	今、多くのルールがあって人々も役場もよくない状況に至っている。	今現在、多くの規則があり、人々と各省は悩んでいる。			
アイル統一机戦書	JO KA AIL PANIT KA PI LATA CET AT CEP CET TICOTIT PANKALETI.	ここにアイル共和国がこれを統一し、人々も役場もよい思いをする。	ここに藍国がこれを統一し、人々と各省は嬉しく思い、			
アイル統一机戦書	METICA, AUC LETI LATA LECU IT KA.	皆、これ(=統一されたルール)をしよう(=遊ぼう)、そしてきっと皆これをするだろう。	皆人がこれをすることを期待する。			
アイル統一机戦書	ZO CET	駒たち	駒			
アイル統一机戦書	船 PIJUME/MUAK		船 ピユメ/ムアク			
アイル統一机戦書	兵 ELME/KAUK		兵 エルメ/カウク			
アイル統一机戦書	弓 KUCTU		弓 クストゥ			
アイル統一机戦書	車 XIJE/KAUN		車 シイェ/カウン			
アイル統一机戦書	虎 CUCIT/DAU		虎 ススィト/ダウ			
アイル統一机戦書	馬 DODO/MAUN		馬 ドド/マウン			
アイル統一机戦書	筆 KUWA		筆 クワ			
アイル統一机戦書	巫 TANCUK		巫 タムスク			
アイル統一机戦書	将 XAN/WAI		将 シャン/ワイ			
アイル統一机戦書	王 CAUPLA/CAUPLA LETI ZO		王 サウプラ			
アイル統一机戦書	皇 TAN		皇 タン			
アイル統一机戦書	DAT AT LETIT LETI KIN	役と、持つ点数	役と得点			
アイル統一机戦書	PAPELLETI DAT	普通の役	通常役			
アイル統一机戦書	無抗行処 AUC/MUMAKMOKE	【無抗行処】全て/ムマクモケ（天下無双）	無抗行処 アウス/ムマクモケ			
アイル統一机戦書	AUC LETI CEPAT LETI ZO 50	全ての種類の駒 50	全種類を取ること 50			
アイル統一机戦書	筆兵無傾 KUWA AT ELME/KAKAUKMUNAUN	【筆兵無傾】書記官と兵士/カカウクムナウン（緯武経文）	筆兵無傾 クワアトエルメ/カカウクムナウン			
アイル統一机戦書	兵弓将筆巫 10		兵弓将筆巫 10			
アイル統一机戦書	地心 MO/KEPKA	【地心】文化/ケプカ（文化）	地心 モ/ケプカ			
アイル統一机戦書	筆巫将 7		筆巫将 7			
アイル統一机戦書	馬弓兵 BEPICE ELME/MAUNKAKAUK	【馬弓兵】ヴェフィスの兵士/マウンカカウク（馬と弓を操るヴェフィス兵）	馬弓兵 ベピセエルメ/マウンカカウク			
アイル統一机戦書	兵弓馬 5		兵弓馬 5			
アイル統一机戦書	行行 TUDE-TUDE/MOK-MOK	【行行】行く・行く/モクモク（移動しようとする）	行行 トゥデトゥデ/モクモク			
アイル統一机戦書	船車馬 5		船車馬 5			
アイル統一机戦書	王 CAUPLA/CAUPLA LETI DAT	【王】王/王の役	王 サウプラ/サウプラレティダト			
アイル統一机戦書	王 3		王 3			
アイル統一机戦書	獣 CUCIT DODO/CAUP	【獣】虎・馬/サウプ（獣）	獣 ススィトドド/サウプ			
アイル統一机戦書	虎馬 3		虎馬 3			
アイル統一机戦書	戦集 ELME CET/KAIKDAT	【戦集】兵士たち/カイクダト（軍）	戦集 エルメセト/カイクダト			
アイル統一机戦書	将兵兵 3		将兵兵 3			
アイル統一机戦書	助友 MENA/WAIPKI	【助友】友達/ワイプキ（友を助ける）	助友 メナ/ワイプキ			
アイル統一机戦書	車兵兵 3		車兵兵 3			
アイル統一机戦書	闇戦之集 KAPA-NIP-MOL/KETKAITADAT	【闇戦之集】光がない/ケトカイタダト（行き詰まった軍）	闇戦之集 カパニプモル/ケトカイタダト			
アイル統一机戦書	兵兵兵兵兵 3		兵兵兵兵兵 3			
アイル統一机戦書	CELENE LAUZAIT PAPELLETI DAT PI ZO MOLIP.	普通の役を作りたいが駒がない。	通常役を作りたいが駒がない。			
アイル統一机戦書	JO KALETI NOLE CO CENE LUCIT 王 PI KALETI ZO CENE PULONIT CO NIP LETLETI CILETI ZO.	そのようなとき、あなたは【王】を使うことができ、その駒(=【王】)はあなたがもっていないあの駒(=前文で言及された、役を完成させるために必要な駒)を演じることができる。	このような時、王(駒)を使い、その駒の代用とすることができる。			
アイル統一机戦書	PULONLETI JULO NIP CENE TUDEIT NUPANLETI DEC.	演じることによって異なる色に至らせることはできない。	ただし別の色の駒とすることはできない。 			
アイル統一机戦書	XON DAT	普通でない役	特殊役			
アイル統一机戦書	撃皇 CEMOKOIT-TAN/KUTAN	【撃皇】タム神を踏み越える/クタン（タム神を攻撃する）	撃皇 セモコイトタン/クタン			
アイル統一机戦書	ZO CEMOKOIT TAN 下5	駒がタム神を踏み越える　マイナス5	駒が皇を踏み越える マイナス5			
アイル統一机戦書	皇再来 MAK-KILE/TANTUMOK	【皇再来】再来/タントゥモク（タム神が再び行く）	皇再来 マクキレ/タントゥモク			
アイル統一机戦書	CO E TAN E TUDE PI MAK IT PI TAN NIP E TUDE.	あなたがタム神を行かせて、もう一度して、タム神が行っていない。	皇が進み、再び動かして、結果的には移動していない、			
アイル統一机戦書	JO ET CI E TAN E TUDE PI CO E TAN E TUDE.  下3	または、あの人(=相手)がタム神を行かせて、あなたがタム神を行かせる。	もしくは、相手が皇を動かし、自分が皇を動かす  マイナス3			
アイル統一机戦書	同色 PANLETI DEC/BEPOK	【同色】同じ色/ベポク（同じ色）	同色 パンレティデス/ベポク			
アイル統一机戦書	PANLETI DEC LETI ZO CETLETI DAT. 	同じ色の駒たちの(=からなる)役。	色の同じ駒の集まり。			
アイル統一机戦書	NUPANLETI DEC LETI ZO CET MOLIPLETI DAT LETIT BEPOK. 	同じでない色の駒たちがない役はベポクを持つ。	異なる色のない役は同色。			
アイル統一机戦書	CAUPLA E BEPOK PI LETIT 5. 上2	王はベポクであるので5点を持つ。プラス 2	王(役)は同色なので5点。 プラス2			
アイル統一机戦書	PAC IT LETI NOLE LETI ZO CET LETI POTO	し始めるときの駒たちの場所	開始時の駒の位置			
アイル統一机戦書	JO PAC IT LETI NOLE ZO CET MOL POLTO E PANLETI JO KA.	し始めるとき、駒たちがいる位置はこれと同一の位置である。	遊戯の開始時、駒はこの図のようになる。			
アイル統一机戦書	PULANLETI LUJOT E LUDECLETI.	白い文字は赤である。	この文章で白抜き文字で掲載されている駒は、実際の盤では赤い文字である。			
アイル統一机戦書	NI-TU-XJU-CAI-NAI-TJU-XU-CI E TANKE PI JO KA ZO XON E TUDE. 	NI, TU, XJU, CAI, NAI, TJU, XU, CIのマス目はタンケ（タム神の場所）であって、ここでは駒が普通でない動きをする。	NI-TU-XJU-CAI-NAI-TJU-XU-CIのマスは皇処で、ここでは駒は特別な動きをする。			
アイル統一机戦書	ZI-ZU-ZJU-ZAI-NO-TO-XO-CO E TANNA.	ZI, ZU, ZJU, ZAI, NO, TO, XO, COのマス目はタンナ（タム神の水）である。	ZI-ZU-ZJU-ZAI-NO-TO-XO-COは皇水である。			
アイル統一机戦書	CO CELENE E ZO E TUDE JO TANNA PI CO DOKTIT XIJU PI DELU LETIT 3LETI O 4LETI O 5LETI. 	あなたが駒をタンナに行かせたいならば、あなたは判定棒を投げ、3つのオモテか4つのオモテか5つのオモテを得なければならない。	皇水に行きたいのならば、投げ棒を投げ、3か4か5である必要がある。			
アイル統一机戦書	JO ET ZO NIP CENE E TUDE.	その他においては、駒は行くことができない。	そうでないならば、駒は行くことができない。			
アイル統一机戦書	XIJU E 5LETI CUPOI LETI XEDIXEL.	投げ棒とは、5つの木の棒である。	なお、投げ棒とは5つの木の棒である。			
アイル統一机戦書	JO XON NOLE ZO E TUDE JO TANNA JO TANNA PI CO NIP DOKTIT XIJU.	例外的に、駒がタンナからタンナへ行くときは投げ棒を投げない。	また、特殊な場合として、皇水から皇水に移動する際は投げ棒を投げる必要はない。			
アイル統一机戦書	PI JO TANNA TAN O PIJUME TUDELETI NOLE CO NIP DOKTIT XIJU.	そして、タンナにタム神または船が行くとき、判定棒を投げない。	そして、皇や船が皇水に移動する際にも、投げ棒は投げない。			
アイル統一机戦書	ZO E TANZO PI KA E TANKE O TANNA.	ZOのマス目はタンツォ（タム神の山）であって、これはタンケでもありタンナでもある。	ZOは皇山であり、これは皇処でも皇水でもある。			
アイル統一机戦書	ZO E TUDE JO KAME?	駒は如何にして行くのか？	駒はどのように進むのか			
アイル統一机戦書	CO CENE IT KA.	あなたはこれができる。	できることは、以下のとおりである。			
アイル統一机戦書	COLETI ZO E TUDE JO COLETI ZO MOLIPLETI POTO.	あなたの駒が、あなたの駒のない場所へ行く。	駒は他の駒のないマスに移動する。			
アイル統一机戦書	COLETI ZO E TUDE JO CILETI ZO MOL POTO PI CO LETIT KIJE CILETI ZO PI CILETI ZO E TUDE JO COLETI "KOPZO".	あなたの駒があの人(=相手)の駒のある場所に行って、あなたは相手の駒を取って、相手の駒はあなたのコプツォ（手札）へ行く。	駒が行き、そこに他の駒があれば、その駒を取り、その駒は自分の手駒に加わる。			
アイル統一机戦書	JO AUCLETI NOLE JO COLETI KOPZO MOL ZO CENE E TUDE JO ZO MOLIPLETI POLTO.	どんなときも、あなたのコプツォにある駒は、駒のない場所へ行くことができる。	いつでも駒のないところに自分の手駒にある駒は他の駒のないところに行くことができる。			
アイル統一机戦書	ZO E TUDE LETI JULO LETI CUKULAL E KA.	駒の行くことの絵はこれである。	駒は下の図のように進む。			
アイル統一机戦書	JO TANKE ZO XON E TUDE. PULANLETI E CI.	タンケでは駒は変わった動きをする。白いもの（=矢印や丸）がそれである。	皇処では駒は変わった動きをする。白抜き（で示した動き）がそれである。			
アイル統一机戦書	TANKE LETI 将 CECNUTIT MELE ETLETI ZO.	タンケの(=にいる)【将】は近くの他の駒を守る。	皇処の将は周りの駒を守る。			
アイル統一机戦書	MELE JULO E WAI LETI POTO LETI NUTOK NECTUNLETI 8LETI POLTO.	近いというのは、将軍の場所のマスが接触している8箇所のことである。	周りとは将のいるマスの触れる8マスである。			
アイル統一机戦書	JO CI MOL TANKE LETI WAI CECNUTIT ME-MI-MU-CE-CU-XE-XI-XU.	CIのマス目にあるタンケの将軍はME, MI, MU, CE, CU, XE, XI, XUのマス目を守る。	例えば、CIにある将はME-MI-MU-CE-CU-XE-XI-XUを守る。			
アイル統一机戦書	車 O 馬 O TANKE LETI 巫 CENE E TUDE JO PANLETI ZO MOL POLTO PI CENE IT PANLETI TUDE.	車輪と馬とタンケの巫女は一つの駒がある場所に行き、さらに1つの移動をする事ができる。	車や馬、皇処の巫は他の1つの駒を越えて移動できる。			
アイル統一机戦書	皇 E TUDE PI MAK TUDE.	タムは行き、また行く。	皇は行き、再び行く。			
アイル統一机戦書	BELPIC LETI TUDELETI	遊戯の流れ	遊戯の進行			
アイル統一机戦書	LATA IT LETI JULO E PANLETI JO KA.	人が行うことは以下のことから選んだ一つである。	競技者は次のことをする。			
アイル統一机戦書	P. DELU TUDEIT ZO	イ．駒を移動させなければならない	イ. 駒を進める			
アイル統一机戦書	TECTELIT TUDELETI POLTO	1. 発つ場所を決める	1. 開始点を決める			
アイル統一机戦書	TECTELIT PANLETI TUDELETI ZO PI TUDEIT.	一つの行く駒を決めて、移動させる。	移動する駒を決め、移動する。			
アイル統一机戦書	○ JO ZO TUDELETI NOLE DELU PANLETI.	○：駒が行くとき、一である必要がある。	○：駒が移動する時、1マス移動しなければならない。			
アイル統一机戦書	→ JO ZO TUDELETI NOLE CENE TUDELETI E XEP KIN.	→：駒が移動するとき、できる移動は複数マスでもある。	→：駒が移動する時、出来る移動は複数マスである。			
アイル統一机戦書	XON TUDELETI	変わった動き	特殊な動き			
アイル統一机戦書	JO KOPZO (E TUDE JO ZO MOLIPLETI POLTO.)	コプツォで（は駒がない場所に行く。）	手駒から (駒のない場所に行く)			
アイル統一机戦書	JO TANKE (DELU XON E TUDE JO CEMOKOIT LETI POLTO O KILELETI POLTO.)	タンケで（は踏越えの場所か来る場所までは変わった動きをしなければならない）	皇処から (特殊な動きをしなければならない)			
アイル統一机戦書	2. E TUDE JO CEMOKOIT LETI POLTO	2. 踏越えの場所に行く	2. 踏越えの場所に行く			
アイル統一机戦書	ZO E TUDE PI ZO MOL PI CENE CEMOKOIT.	駒が行き、（行った先に）駒があれば、踏越えすることができる。	駒が行き、そこに駒があれば踏み越えできる。			
アイル統一机戦書	CEMOKO E XON TUDELETI PANLETI.	踏越えは普通でない動きの一つである。	踏越えは、特殊な動きの一つである。			
アイル統一机戦書	ZO E TUDE JO ETLETI ZO MOL POLTO PI MAK TUDE.	駒は他の駒がある場所に行き、また行く。	駒は他の駒がある場所に行き、そこからさらに移動する。			
アイル統一机戦書	CEMOKOLETI NOLE	踏越えのとき	踏越えする時			
アイル統一机戦書	XON TUDELETI	変わった動き	特殊な動き			
アイル統一机戦書	JO TANKE (DELU XON E TUDE JO KILELETI POLTO.)	タンケで（は来る場所までは変わった動きをしなければならない。）	皇処から (特殊な動きをしなければならない)			
アイル統一机戦書	JO ET	他に	その他			
